depth,accuracy,auprc,f1,precision,recall,isTrain,method,random_seed
8,0.89775,,0.9028734267394918,0.8720183486238532,0.9359921221073364,True,no_adaptivity,42
9,0.89775,,0.9028734267394918,0.8720183486238532,0.9359921221073364,True,no_adaptivity,42
10,0.89775,,0.9028734267394918,0.8720183486238532,0.9359921221073364,True,no_adaptivity,42
1,0.7735,,0.7748508946322068,0.7929806714140386,0.7575315840621963,True,no_adaptivity,43
2,0.819,,0.8422657952069716,0.7634281200631912,0.9392614188532556,True,no_adaptivity,43
3,0.87725,,0.8831230659366818,0.8656089594027064,0.9013605442176872,True,no_adaptivity,43
4,0.8835,,0.8921296296296296,0.8519009725906278,0.9363459669582118,True,no_adaptivity,43
5,0.8915,,0.8979783732957217,0.8697632058287796,0.9280855199222546,True,no_adaptivity,43
6,0.89525,,0.8982762806506434,0.8976225133430373,0.8989310009718173,True,no_adaptivity,43
7,0.903,,0.9073985680190932,0.8916510318949343,0.923712342079689,True,no_adaptivity,43
8,0.903,,0.9073985680190932,0.8916510318949343,0.923712342079689,True,no_adaptivity,43
9,0.903,,0.9073985680190932,0.8916510318949343,0.923712342079689,True,no_adaptivity,43
10,0.903,,0.9073985680190932,0.8916510318949343,0.923712342079689,True,no_adaptivity,43
1,0.7675,,0.7872827081427265,0.7345283824157064,0.8482010842779695,True,no_adaptivity,44
2,0.8045,,0.8145161290322581,0.7850937357110197,0.8462296697880729,True,no_adaptivity,44
3,0.87,,0.8777046095954845,0.8394062078272605,0.9196648595367176,True,no_adaptivity,44
4,0.8715,,0.8758454106280193,0.8588346755092373,0.893543617545589,True,no_adaptivity,44
5,0.881,,0.8889925373134329,0.8437361664453298,0.9393790044356826,True,no_adaptivity,44
6,0.89225,,0.8983250766690257,0.8615384615384616,0.9383932971907344,True,no_adaptivity,44
7,0.8985,,0.9008304836345872,0.8929782082324456,0.9088220798422868,True,no_adaptivity,44
8,0.90325,,0.9068143510715144,0.8865348399246704,0.9280433711187778,True,no_adaptivity,44
9,0.90325,,0.9068143510715144,0.8865348399246704,0.9280433711187778,True,no_adaptivity,44
10,0.90325,,0.9068143510715144,0.8865348399246704,0.9280433711187778,True,no_adaptivity,44
1,0.77775,,0.7779165625780664,0.7915607524148449,0.7647347740667977,True,no_adaptivity,45
2,0.81625,,0.8392036753445635,0.7566074950690336,0.9420432220039292,True,no_adaptivity,45
3,0.872,,0.877511961722488,0.855410447761194,0.900785854616896,True,no_adaptivity,45
4,0.876,,0.8835133865664632,0.8465346534653465,0.9238703339882122,True,no_adaptivity,45
5,0.88775,,0.894328077194634,0.8585630366018979,0.9332023575638508,True,no_adaptivity,45
6,0.89025,,0.8923227863625215,0.8912297893189612,0.8934184675834971,True,no_adaptivity,45
7,0.89825,,0.9019040732706676,0.885470894462849,0.918958742632613,True,no_adaptivity,45
8,0.89825,,0.9019040732706676,0.885470894462849,0.918958742632613,True,no_adaptivity,45
9,0.89825,,0.9019040732706676,0.885470894462849,0.918958742632613,True,no_adaptivity,45
10,0.89825,,0.9019040732706676,0.885470894462849,0.918958742632613,True,no_adaptivity,45
1,0.77225,,0.7740014884644009,0.7910750507099391,0.7576493443419136,True,no_adaptivity,46
2,0.8185,,0.8422425032594524,0.7620920173023987,0.9412336085478388,True,no_adaptivity,46
3,0.87275,,0.8790686623901164,0.8604651162790697,0.8984944147644488,True,no_adaptivity,46
4,0.88175,,0.8903823870220162,0.8515070921985816,0.9329771733851384,True,no_adaptivity,46
5,0.887,,0.8927384907451352,0.8728538283062645,0.9135502671199612,True,no_adaptivity,46
6,0.89325,,0.8965350133268718,0.8945841392649904,0.8984944147644488,True,no_adaptivity,46
7,0.89875,,0.9028544015351404,0.8919431279620853,0.9140359397765906,True,no_adaptivity,46
8,0.89875,,0.9028544015351404,0.8919431279620853,0.9140359397765906,True,no_adaptivity,46
9,0.89875,,0.9028544015351404,0.8919431279620853,0.9140359397765906,True,no_adaptivity,46
10,0.89875,,0.9028544015351404,0.8919431279620853,0.9140359397765906,True,no_adaptivity,46
1,0.7595,,0.7568250758341759,0.7776623376623376,0.7370753323485968,True,no_adaptivity,42
2,0.80525,,0.823155505107832,0.7636899747262005,0.8926637124569178,True,no_adaptivity,42
3,0.84475,,0.8575361321403991,0.8028350515463918,0.9202363367799112,True,no_adaptivity,42
4,0.875,,0.8788172564226854,0.8653937947494034,0.8926637124569178,True,no_adaptivity,42
5,0.8775,,0.8838311996206734,0.8523090992226795,0.9177744953225012,True,no_adaptivity,42
6,0.8865,,0.8865,0.9004570848146267,0.8729689807976366,True,no_adaptivity,42
7,0.89025,,0.8920049200492005,0.8913470993117011,0.8926637124569178,True,no_adaptivity,42
8,0.89025,,0.8920049200492005,0.8913470993117011,0.8926637124569178,True,no_adaptivity,42
9,0.89025,,0.8920049200492005,0.8913470993117011,0.8926637124569178,True,no_adaptivity,42
10,0.89025,,0.8920049200492005,0.8913470993117011,0.8926637124569178,True,no_adaptivity,42
1,0.7635,,0.7619526925012582,0.7901878914405011,0.7356656948493683,True,no_adaptivity,43
2,0.813,,0.8347326557666814,0.7653970826580226,0.9178814382896016,True,no_adaptivity,43
3,0.8715,,0.8784869976359339,0.8554327808471455,0.902818270165209,True,no_adaptivity,43
4,0.87475,,0.8832439990678164,0.8486341244961935,0.9207968901846452,True,no_adaptivity,43
5,0.88225,,0.8881500831156495,0.8685555039479795,0.9086491739552964,True,no_adaptivity,43
6,0.889,,0.889662027833002,0.9104781281790436,0.86977648202138,True,no_adaptivity,43
7,0.8985,,0.9024507448342144,0.8925855513307985,0.912536443148688,True,no_adaptivity,43
8,0.8995,,0.9024271844660194,0.9015518913676044,0.9033041788143829,True,no_adaptivity,43
9,0.8995,,0.9024271844660194,0.9015518913676044,0.9033041788143829,True,no_adaptivity,43
10,0.8995,,0.9024271844660194,0.9015518913676044,0.9033041788143829,True,no_adaptivity,43
1,0.76375,,0.7609410574247407,0.7817047817047817,0.7412518482010843,True,no_adaptivity,44
2,0.80925,,0.8324917672886938,0.7505938242280285,0.9344504682109414,True,no_adaptivity,44
3,0.86675,,0.8714113389626056,0.8534971644612477,0.89009364218827,True,no_adaptivity,44
4,0.87225,,0.87870875860432,0.8475274725274725,0.9122720551996056,True,no_adaptivity,44
5,0.879,,0.882295719844358,0.870859337493999,0.8940364711680631,True,no_adaptivity,44
